league,market,strategy,n_rows,g1_brier_diff_mean,g1_brier_diff_ci_lo,g1_brier_diff_ci_hi,g1_brier_diff_mean_oracle,g1_brier_diff_ci_lo_oracle,g1_brier_diff_ci_hi_oracle,g1_brier_skill_score,g2_star_pred_mean,g2_star_true_mean,g2_star_abs_diff,g2_star_sigma,g2_star_z,g2_star_z_oracle,g3_bench_pred_mean,g3_bench_true_mean,g3_bench_abs_diff,g3_bench_sigma,g3_bench_z,g3_bench_z_oracle,g4_iqr_pred,g4_iqr_true,g4_iqr_ratio,g4_iqr_ratio_oracle,g5_ece,g5_ece_oracle,g1_pass,g2_pass,g3_pass,g4_pass,g5_pass,ship
NBA,OREB,ship75-step0-g4audit-2026-05-23,2189,,,,,,,,1.6517,1.4932,0.1585,1.0243,0.1548,0.0,0.6199,0.469,0.1509,0.7262,0.2078,0.0,1.0,1.0,1.0,1.0,0.0684,0.0,True,True,True,True,True,True
NBA,PA,ship75-step0-g4audit-2026-05-23,2204,-0.0128,-0.0184,-0.0068,-0.2603,-0.264,-0.2566,0.0493,29.4786,29.9955,0.5169,8.6453,0.0598,0.0,10.0526,10.5626,0.51,6.3357,0.0805,0.0,10.4328,14.0,0.7452,1.0,0.0475,0.0,True,True,True,True,True,True
NBA,PF,ship75-step0-g4audit-2026-05-23,2171,,,,,,,,2.4416,2.5092,0.0675,1.1288,0.0598,0.0,1.558,1.5543,0.0037,1.1702,0.0031,0.0,2.0,2.0,1.0,1.0,0.147,0.0,True,True,True,True,False,False
NBA,PR,ship75-step0-g4audit-2026-05-23,2217,-0.0196,-0.0262,-0.0135,-0.2655,-0.27,-0.2616,0.0739,30.2047,30.0225,0.1821,9.477,0.0192,0.0,12.1924,12.8559,0.6635,7.075,0.0938,0.0,10.6105,13.0,0.8162,1.0,0.051,0.0,True,True,True,True,True,True
NBA,PRA,ship75-step0-g4audit-2026-05-23,2250,-0.0069,-0.0121,-0.0017,-0.2598,-0.2634,-0.2558,0.0266,35.8613,36.2267,0.3654,9.9681,0.0367,0.0,13.3532,14.5471,1.1939,8.1631,0.1463,0.0,12.9847,15.0,0.8656,1.0,0.0577,0.0,True,True,True,True,True,True
NBA,PTS,ship75-step0-g4audit-2026-05-23,2249,-0.027,-0.0343,-0.0201,-0.2792,-0.2846,-0.2737,0.0968,23.9566,24.2,0.2434,8.543,0.0285,0.0,7.3569,8.1155,0.7586,5.9726,0.127,0.0,9.1851,12.0,0.7654,1.0,0.0573,0.0,True,True,True,True,True,True
NBA,RA,ship75-step0-g4audit-2026-05-23,2214,-0.0157,-0.0213,-0.0098,-0.2614,-0.2649,-0.258,0.0602,13.3436,14.2613,0.9176,5.0772,0.1807,0.0,5.3575,5.9007,0.5432,3.5363,0.1536,0.0,4.8329,6.0,0.8055,1.0,0.0583,0.0,True,True,True,True,True,True
NBA,REB,ship75-step0-g4audit-2026-05-23,2216,-0.0369,-0.0449,-0.0291,-0.2816,-0.288,-0.2754,0.1311,8.9551,8.7568,0.1984,3.9389,0.0504,0.0,2.824,3.0903,0.2663,2.233,0.1192,0.0,3.317,4.0,0.8292,1.0,0.0302,0.0,True,True,True,True,True,True
NBA,STL,ship75-step0-g4audit-2026-05-23,2136,-0.0463,-0.0558,-0.0369,-0.2837,-0.2899,-0.2777,0.1633,1.5072,1.412,0.0951,1.158,0.0821,0.0,0.7168,0.5449,0.1719,0.7826,0.2197,0.0,1.0,1.0,1.0,1.0,0.0313,0.0,True,True,True,True,True,True
NBA,TOV,ship75-step0-g4audit-2026-05-23,2070,-0.0134,-0.0208,-0.0059,-0.2557,-0.2599,-0.2515,0.0525,2.3124,2.6763,0.364,1.789,0.2034,0.0,0.9722,0.7452,0.227,0.9187,0.2471,0.0,2.0,2.0,1.0,1.0,0.0775,0.0,True,True,True,True,False,False
NBA,fantasy-points-prizepicks,ship75-step0-g4audit-2026-05-23,1632,-0.1077,-0.1211,-0.0955,-0.306,-0.3154,-0.2973,0.352,30.8025,37.8396,7.0371,13.4593,0.5228,0.0,21.3673,21.7806,0.4134,6.5668,0.063,0.0,10.0755,13.3,0.7576,1.0,0.06,0.0,True,False,True,True,True,False
